# TestSimulation (Up to date)
# 636 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.518,10.116,10.116,38.197,38.23,50.834,51.542,0.107,2.922e-6,0.107,89.998,1.575,8.508,28.61,-80.6,1.146,0,30.855,-4.351e-4,83.515,89.999,67.518,19.359,0.001,1.013e-5,9.792,31.593,25.354,2.496,4.406,6.665,0.274,0.618,0.433,0.063,0.122,0.62,0.246,0.599,1.71e-4,0,0,0,0,0.015,1.995,90,14.934,1012.064,0.001,340.349,0.113,1.102e6,2.5,4.909,0.011,0.043,0.005
0.529,10.549,10.549,38.769,38.805,50.73,51.283,0.125,3.557e-6,0.125,89.998,1.665,7.511,28.61,-80.6,0.715,0,34.136,-0.001,83.882,89.999,67.458,19.299,0.001,1.013e-5,9.792,31.721,25.343,2.551,4.395,6.654,0.282,0.618,0.433,0.063,0.122,0.619,0.152,0.368,3.212e-4,0,0,0,0,0.018,2.001,90,14.931,1012.013,0.001,340.347,0.114,1.119e6,2.5,4.909,0.017,0.044,0.005
0.546,11.212,11.212,39.625,39.665,50.555,50.899,0.154,4.578e-6,0.154,89.998,1.779,5.908,28.61,-80.6,0.055,0,36.125,-0.027,84.481,89.999,67.368,19.209,0.001,1.013e-5,9.792,31.922,25.327,2.638,4.379,6.638,0.294,0.618,0.433,0.064,0.122,0.618,0.012,0.01,1.909e-4,0,0,0,0,0.02,2.011,90,14.927,1011.935,0.001,340.345,0.117,1.144e6,2.5,4.909,0.025,0.044,0.005
0.571,12.233,12.233,40.903,40.947,50.217,50.337,0.201,6.158e-6,0.201,89.998,1.897,3.467,28.61,-80.6,0.867,-1.15e-6,-31.945,-9.847e-4,85.361,90.001,67.233,19.074,0.001,1.012e-5,9.792,31.676,25.303,2.549,4.355,6.614,0.314,0.618,0.433,0.064,0.122,0.62,0.185,0.485,-4.678e-4,0,0,0,0,-0.014,2.045,90,14.92,1011.815,0.001,340.341,0.121,1.181e6,2.5,4.909,0.012,0.045,0.005
0.584,12.73,12.73,41.508,41.553,50.02,50.079,0.224,6.887e-6,0.224,89.998,1.933,2.428,28.61,-80.6,1.218,-1.309e-6,-27.079,-0.002,85.72,90.002,67.168,19.009,0.001,1.012e-5,9.792,31.574,25.292,2.513,4.343,6.603,0.324,0.618,0.433,0.064,0.122,0.621,0.262,0.669,1.436e-4,0,0,0,0,-0.01,2.063,90,14.917,1011.757,0.001,340.339,0.123,1.198e6,2.5,4.909,0.009,0.045,0.005
0.592,13.085,13.085,41.933,41.978,49.868,49.9,0.24,7.375e-6,0.24,89.998,1.951,1.798,28.61,-80.6,1.416,-1.164e-6,-22.712,-0.002,85.932,90.002,67.123,18.964,0.001,1.012e-5,9.792,31.517,25.284,2.493,4.335,6.595,0.332,0.618,0.433,0.064,0.122,0.622,0.306,0.771,-7.696e-5,0,0,0,0,-0.007,2.075,90,14.915,1011.715,0.001,340.337,0.124,1.21e6,2.5,4.909,0.007,0.046,0.005
0.599,13.389,13.389,42.292,42.338,49.731,49.75,0.255,7.769e-6,0.255,89.998,1.962,1.348,28.61,-80.6,1.548,-1.316e-6,-18.491,-0.002,86.081,90.002,67.085,18.925,0.001,1.011e-5,9.792,31.479,25.277,2.481,4.328,6.588,0.338,0.618,0.433,0.064,0.122,0.623,0.336,0.839,-1.747e-5,0,0,0,0,-0.005,2.086,90,14.913,1011.68,0.001,340.336,0.125,1.221e6,2.5,4.909,0.007,0.047,0.005
0.606,13.666,13.666,42.616,42.662,49.602,49.613,0.267,8.108e-6,0.267,89.998,1.97,1.052,28.61,-80.6,1.62,-1.391e-6,-14.366,-0.002,86.188,90.002,67.05,18.891,0.001,1.011e-5,9.792,31.459,25.271,2.475,4.321,6.582,0.343,0.619,0.433,0.064,0.122,0.623,0.353,0.875,-2.674e-4,0,0,0,0,-0.003,2.082,90,14.911,1011.647,0.001,340.335,0.126,1.23e6,2.5,4.909,0.006,0.047,0.005
0.612,13.929,13.929,42.921,42.966,49.477,49.484,0.28,8.414e-6,0.28,89.998,1.976,0.849,28.61,-80.6,1.658,-1.514e-6,-10.285,-0.002,86.264,90.002,67.017,18.858,0.001,1.011e-5,9.792,31.448,25.265,2.473,4.315,6.576,0.348,0.619,0.433,0.064,0.122,0.624,0.361,0.895,9.832e-5,0,0,0,0,-0.001,2.077,90,14.909,1011.616,0.001,340.334,0.127,1.239e6,2.5,4.909,0.006,0.048,0.006
0.618,14.184,14.184,43.214,43.259,49.353,49.358,0.291,8.695e-6,0.291,89.998,1.98,0.725,28.61,-80.6,1.67,-1.442e-6,-6.238,-0.001,86.313,90.002,66.985,18.826,0.001,1.011e-5,9.792,31.445,25.259,2.474,4.31,6.57,0.353,0.619,0.433,0.064,0.122,0.624,0.364,0.901,2.76e-4,0,0,0,0,-4.935e-4,2.072,90,14.908,1011.586,0.001,340.333,0.128,1.247e6,2.5,4.909,0.006,0.049,0.006
0.624,14.436,14.436,43.5,43.545,49.229,49.233,0.303,8.958e-6,0.303,89.998,1.984,0.672,28.61,-80.6,1.658,-1.484e-6,-2.22,-5.705e-4,86.338,90.002,66.954,18.795,0.001,1.011e-5,9.792,31.448,25.254,2.478,4.304,6.565,0.357,0.619,0.433,0.064,0.122,0.624,0.361,0.896,-3.085e-4,0,0,0,0,-6.166e-5,2.067,90,14.906,1011.557,0.001,340.332,0.128,1.255e6,2.5,4.909,0.006,0.049,0.006
0.629,14.688,14.688,43.784,43.829,49.103,49.108,0.314,9.207e-6,0.314,89.998,1.988,0.689,28.61,-80.6,1.624,-1.486e-6,1.772,2.585e-4,86.339,90.002,66.924,18.765,0.001,1.011e-5,9.792,31.458,25.248,2.484,4.298,6.559,0.362,0.619,0.433,0.064,0.122,0.623,0.354,0.878,6.952e-5,0,0,0,0,3.88e-5,2.062,90,14.905,1011.527,0.001,340.331,0.129,1.263e6,2.5,4.909,0.006,0.05,0.006
0.635,14.943,14.943,44.068,44.113,48.974,48.98,0.326,9.446e-6,0.326,89.998,1.992,0.776,28.61,-80.6,1.567,-1.483e-6,5.736,-7.754e-4,86.317,90.002,66.893,18.734,0.001,1.011e-5,9.792,31.474,25.242,2.493,4.293,6.554,0.366,0.619,0.433,0.064,0.122,0.623,0.341,0.848,-2.254e-4,0,0,0,0,4.014e-4,2.057,90,14.903,1011.497,0.001,340.33,0.13,1.271e6,2.5,4.909,0.006,0.05,0.006
0.641,15.205,15.205,44.358,44.403,48.84,48.848,0.338,9.679e-6,0.338,89.998,1.998,0.935,28.61,-80.6,1.488,-1.424e-6,9.669,-0.001,86.271,90.002,66.861,18.702,0.001,1.011e-5,9.792,31.497,25.237,2.504,4.287,6.548,0.371,0.619,0.433,0.064,0.122,0.623,0.323,0.807,-1.66e-4,0,0,0,0,0.001,2.052,90,14.901,1011.467,0.001,340.329,0.131,1.28e6,2.5,4.909,0.006,0.051,0.006
0.647,15.478,15.478,44.658,44.703,48.696,48.711,0.35,9.909e-6,0.35,89.998,2.004,1.172,28.61,-80.6,1.383,-1.565e-6,13.561,-5.352e-4,86.2,90.002,66.828,18.669,0.001,1.01e-5,9.792,31.527,25.231,2.519,4.281,6.542,0.376,0.619,0.433,0.064,0.122,0.622,0.299,0.75,3.022e-4,0,0,0,0,0.002,2.047,90,14.899,1011.435,0.001,340.328,0.132,1.288e6,2.5,4.909,0.007,0.051,0.006
0.654,15.771,15.771,44.975,45.02,48.541,48.564,0.363,1.014e-5,0.363,89.998,2.013,1.482,28.61,-80.6,1.258,-1.463e-6,17.412,-5.251e-4,86.099,90.001,66.794,18.634,0.001,1.01e-5,9.792,31.563,25.225,2.536,4.275,6.536,0.381,0.619,0.433,0.064,0.122,0.622,0.271,0.683,-1.224e-4,0,0,0,0,0.004,2.048,90,14.897,1011.4,0.001,340.327,0.133,1.297e6,2.5,4.909,0.007,0.052,0.006
0.661,16.089,16.089,45.317,45.362,48.368,48.404,0.377,1.038e-5,0.377,89.998,2.024,1.885,28.61,-80.6,1.106,-1.317e-6,21.209,-5.662e-4,85.962,90.001,66.756,18.597,0.001,1.01e-5,9.792,31.608,25.218,2.556,4.268,6.529,0.386,0.619,0.433,0.064,0.122,0.621,0.237,0.601,-6.88e-5,0,0,0,0,0.005,2.055,90,14.895,1011.363,0.001,340.326,0.134,1.307e6,2.5,4.909,0.01,0.053,0.006
0.671,16.551,16.551,45.806,45.852,48.107,48.176,0.398,1.072e-5,0.398,89.998,2.047,2.591,28.61,-80.6,0.853,-1.387e-6,25.818,4.291e-4,85.723,90.001,66.702,18.543,0.001,1.01e-5,9.792,31.682,25.208,2.59,4.258,6.519,0.394,0.619,0.433,0.064,0.122,0.62,0.182,0.462,3.576e-4,0,0,0,0,0.008,2.065,90,14.892,1011.309,0.001,340.324,0.135,1.321e6,2.5,4.909,0.01,0.053,0.006
0.681,17.014,17.014,46.296,46.342,49.353,49.478,0.419,1.104e-5,0.419,89.998,2.078,3.528,28.61,-80.6,0.571,-1.494e-6,29.194,-0.002,85.445,90,66.648,18.489,0.001,1.01e-5,9.792,31.767,25.198,2.627,4.35,6.665,0.402,0.619,0.433,0.064,0.122,0.62,0.121,0.308,-9.125e-5,0,0,0,0,0.009,2.075,90,14.889,1011.255,0.001,340.322,0.137,1.335e6,2.5,4.909,0.015,0.054,0.006
0.696,17.703,17.703,47.037,47.086,51.149,51.399,0.45,1.153e-5,0.45,89.999,2.141,5.056,28.61,-80.6,0.132,-1.44e-6,31.651,-0.018,84.992,89.999,66.568,18.409,0.001,1.009e-5,9.792,31.901,25.184,2.687,4.485,6.881,0.415,0.619,0.433,0.064,0.123,0.619,0.028,0.064,-7.984e-5,0,0,0,0,0.011,2.09,90,14.885,1011.174,0.001,340.319,0.139,1.356e6,2.5,4.909,0.006,0.055,0.006
0.702,17.995,17.995,47.357,47.406,51.891,52.207,0.463,1.175e-5,0.463,89.999,2.174,5.731,28.61,-80.6,0.056,-1.441e-6,-31.713,-0.042,84.796,89.999,66.535,18.376,0.001,1.009e-5,9.792,31.925,25.178,2.699,4.542,6.971,0.42,0.619,0.433,0.064,0.123,0.619,0.012,0.042,-4.102e-4,0,0,0,0,-0.011,2.092,90,14.883,1011.139,0.001,340.318,0.14,1.366e6,2.5,4.909,0.009,0.055,0.006
0.711,18.437,18.437,47.826,47.878,49.215,49.632,0.484,1.212e-5,0.484,89.999,2.231,6.415,28.61,-80.6,0.339,-1.413e-6,-30.657,-0.006,84.505,89.998,66.485,18.326,0.001,1.009e-5,9.792,31.838,25.169,2.668,4.375,6.72,0.429,0.619,0.433,0.064,0.123,0.619,0.071,0.2,2.202e-4,0,0,0,0,-0.01,2.084,90,14.88,1011.088,0.001,340.316,0.141,1.379e6,2.5,4.909,0.012,0.056,0.006
0.723,19.001,19.001,48.383,48.438,45.841,46.4,0.51,1.268e-5,0.51,89.999,2.31,7.175,28.61,-80.6,0.658,-9.662e-7,-27.418,-0.005,84.163,89.997,66.423,18.264,0.001,1.009e-5,9.792,31.741,25.157,2.634,4.164,6.402,0.439,0.619,0.433,0.064,0.123,0.62,0.139,0.375,8.348e-5,0,0,0,0,-0.008,2.075,90,14.876,1011.022,0.001,340.314,0.143,1.395e6,2.5,4.909,0.011,0.056,0.006
0.734,19.538,19.538,48.89,48.949,46.012,46.717,0.536,1.335e-5,0.536,89.999,2.395,8.082,28.61,-80.6,0.902,-1.008e-6,-22.629,-0.002,83.885,89.996,66.365,18.205,0.001,1.009e-5,9.792,31.669,25.146,2.609,4.189,6.446,0.449,0.619,0.433,0.064,0.123,0.621,0.192,0.507,-1.805e-4,0,0,0,0,-0.005,2.065,90,14.873,1010.959,0.001,340.312,0.144,1.41e6,2.5,4.909,0.008,0.057,0.006
0.742,19.931,19.931,49.259,49.321,46.145,46.944,0.556,1.392e-5,0.556,89.999,2.462,8.62,28.61,-80.6,1.036,-7.891e-7,-18.293,-0.001,83.721,89.996,66.322,18.163,0.001,1.008e-5,9.792,31.63,25.139,2.596,4.207,6.477,0.456,0.62,0.433,0.064,0.123,0.621,0.222,0.58,-4.72e-4,0,0,0,0,-0.003,2.058,90,14.87,1010.912,0.001,340.31,0.145,1.42e6,2.5,4.909,0.007,0.058,0.006
0.749,20.271,20.271,49.577,49.642,46.27,47.135,0.573,1.45e-5,0.573,89.999,2.522,8.984,28.61,-80.6,1.119,-5.181e-7,-14.107,-0.001,83.609,89.996,66.286,18.127,0.001,1.008e-5,9.792,31.606,25.132,2.589,4.222,6.505,0.463,0.62,0.432,0.064,0.123,0.622,0.24,0.624,-3.643e-5,0,0,0,0,-0.002,2.052,90,14.868,1010.873,0.001,340.309,0.146,1.43e6,2.5,4.909,0.006,0.058,0.006
0.755,20.585,20.585,49.87,49.937,46.397,47.304,0.589,1.508e-5,0.589,89.999,2.58,9.216,28.61,-80.6,1.161,-4.913e-7,-10.003,-7.951e-4,83.533,89.996,66.253,18.094,0.001,1.008e-5,9.792,31.594,25.126,2.587,4.236,6.53,0.468,0.62,0.432,0.064,0.123,0.622,0.25,0.647,4.95e-4,0,0,0,0,-9.528e-4,2.052,90,14.866,1010.836,0.001,340.308,0.147,1.438e6,2.5,4.909,0.006,0.059,0.006
0.761,20.886,20.886,50.15,50.219,46.53,47.46,0.605,1.57e-5,0.605,89.999,2.636,9.349,28.61,-80.6,1.175,-5.114e-7,-5.949,-0.001,83.485,89.996,66.221,18.062,0.001,1.008e-5,9.792,31.59,25.12,2.588,4.25,6.554,0.474,0.62,0.432,0.064,0.123,0.622,0.253,0.654,-2.62e-4,0,0,0,0,-3.333e-4,2.052,90,14.864,1010.8,0.001,340.307,0.148,1.446e6,2.5,4.909,0.006,0.059,0.006
0.767,21.182,21.182,50.424,50.495,46.671,47.607,0.62,1.637e-5,0.62,89.998,2.691,9.396,28.61,-80.6,1.165,-4.183e-7,-1.936,3.079e-4,83.462,89.996,66.19,18.031,0.001,1.008e-5,9.792,31.593,25.114,2.591,4.263,6.577,0.479,0.62,0.432,0.064,0.123,0.622,0.25,0.649,2.234e-5,0,0,0,0,-3.49e-5,2.052,90,14.862,1010.766,0.001,340.305,0.149,1.454e6,2.5,4.909,0.006,0.06,0.006
0.773,21.478,21.478,50.698,50.772,46.822,47.748,0.636,1.708e-5,0.636,89.998,2.746,9.359,28.61,-80.6,1.132,-4.098e-7,2.036,-0.002,83.462,89.996,66.159,18,0.001,1.008e-5,9.792,31.602,25.109,2.597,4.276,6.6,0.484,0.62,0.432,0.064,0.123,0.622,0.243,0.631,1.032e-4,0,0,0,0,3.819e-5,2.052,90,14.86,1010.731,0.001,340.304,0.15,1.462e6,2.5,4.909,0.006,0.06,0.007
0.779,21.781,21.781,50.977,51.054,46.988,47.887,0.653,1.787e-5,0.653,89.998,2.801,9.238,28.61,-80.6,1.075,-3.917e-7,5.968,-0.003,83.486,89.996,66.128,17.968,0.001,1.008e-5,9.792,31.619,25.103,2.606,4.289,6.624,0.489,0.62,0.432,0.064,0.123,0.622,0.231,0.6,-2.238e-4,0,0,0,0,3.245e-4,2.052,90,14.858,1010.695,0.001,340.303,0.15,1.47e6,2.5,4.909,0.006,0.061,0.007
0.785,22.098,22.098,51.269,51.348,47.17,48.026,0.67,1.874e-5,0.67,89.998,2.858,9.026,28.61,-80.6,0.994,-3.204e-7,9.853,-0.003,83.535,89.996,66.095,17.936,0.001,1.007e-5,9.792,31.643,25.097,2.618,4.303,6.649,0.495,0.62,0.432,0.064,0.123,0.622,0.213,0.556,3.083e-4,0,0,0,0,8.744e-4,2.052,90,14.856,1010.658,0.001,340.302,0.151,1.479e6,2.5,4.909,0.007,0.061,0.007
0.792,22.438,22.438,51.581,51.663,47.377,48.17,0.689,1.973e-5,0.689,89.998,2.917,8.708,28.61,-80.6,0.885,0,13.668,-0.005,83.613,89.996,66.06,17.901,0.001,1.007e-5,9.792,31.675,25.09,2.634,4.318,6.675,0.501,0.62,0.432,0.064,0.123,0.621,0.189,0.495,-1.582e-4,0,0,0,0,0.002,2.052,90,14.854,1010.618,0.001,340.301,0.152,1.488e6,2.5,4.909,0.007,0.062,0.007
0.799,22.817,22.817,51.929,52.014,47.615,48.326,0.711,2.089e-5,0.711,89.998,2.979,8.257,28.61,-80.6,0.739,0,17.374,-0.007,83.727,89.997,66.021,17.862,0.001,1.007e-5,9.792,31.719,25.083,2.654,4.334,6.704,0.507,0.62,0.432,0.065,0.123,0.621,0.157,0.413,1.842e-4,0,0,0,0,0.003,2.052,90,14.852,1010.574,0.001,340.299,0.153,1.498e6,2.5,4.909,0.009,0.062,0.007
0.808,23.268,23.268,52.342,52.431,47.906,48.507,0.737,2.232e-5,0.737,89.998,3.048,7.613,28.61,-80.6,0.542,0,20.88,-0.009,83.893,89.998,65.976,17.817,0.001,1.007e-5,9.792,31.778,25.075,2.681,4.354,6.739,0.515,0.62,0.432,0.065,0.123,0.621,0.114,0.303,-3.572e-4,0,0,0,0,0.004,2.052,90,14.849,1010.521,0.001,340.297,0.155,1.51e6,2.5,4.909,0.012,0.062,0.007
0.819,23.878,23.878,52.9,52.993,48.301,48.752,0.773,2.431e-5,0.773,89.998,3.13,6.616,28.61,-80.6,0.25,0,23.826,-0.021,84.155,89.999,65.915,17.755,0.001,1.007e-5,9.792,31.867,25.063,2.722,4.379,6.785,0.526,0.62,0.432,0.065,0.123,0.62,0.052,0.138,-1.854e-4,0,0,0,0,0.005,2.052,90,14.845,1010.449,0.001,340.295,0.156,1.526e6,2.5,4.909,0.017,0.063,0.007
0.837,24.806,24.806,53.746,53.843,48.875,49.132,0.828,2.729e-5,0.828,89.998,3.232,5.021,28.61,-80.6,0.194,3.812e-7,-24.013,-0.025,84.578,90.001,65.823,17.664,0.001,1.006e-5,9.792,31.885,25.046,2.736,4.418,6.855,0.543,0.62,0.432,0.065,0.123,0.62,0.04,0.115,4.906e-4,0,0,0,0,-0.005,2.053,90,14.839,1010.341,0.001,340.291,0.159,1.55e6,2.5,4.909,0.013,0.064,0.007
0.85,25.522,25.522,54.396,54.495,49.282,49.435,0.871,2.945e-5,0.871,89.998,3.29,3.882,28.61,-80.6,0.488,1.281e-6,-20.759,-0.011,84.878,90.002,65.753,17.594,0.001,1.006e-5,9.792,31.796,25.033,2.705,4.448,6.908,0.556,0.62,0.432,0.065,0.123,0.621,0.103,0.282,8.708e-5,0,0,0,0,-0.003,2.053,90,14.834,1010.257,0.001,340.288,0.161,1.569e6,2.5,4.909,0.012,0.064,0.007
0.862,26.153,26.153,54.963,55.064,49.138,49.237,0.91,3.122e-5,0.91,89.998,3.33,3.112,28.61,-80.6,0.656,1.062e-6,-15.996,-0.011,85.091,90.002,65.691,17.532,0.001,1.006e-5,9.792,31.745,25.022,2.689,4.443,6.907,0.568,0.621,0.432,0.065,0.123,0.621,0.139,0.376,2.611e-4,0,0,0,0,-0.002,2.025,90,14.83,1010.183,0.001,340.286,0.162,1.585e6,2.5,4.909,0.008,0.065,0.007
0.87,26.619,26.619,55.378,55.479,49.018,49.093,0.938,3.245e-5,0.938,89.998,3.355,2.704,28.61,-80.6,0.736,1.283e-6,-11.707,-0.01,85.208,90.001,65.645,17.486,0.001,1.006e-5,9.792,31.721,25.013,2.683,4.439,6.906,0.577,0.621,0.432,0.065,0.123,0.622,0.156,0.42,-3.775e-4,0,0,0,0,-0.001,2.004,90,14.827,1010.128,0.001,340.284,0.163,1.597e6,2.5,4.909,0.007,0.065,0.007
0.877,27.032,27.032,55.742,55.844,48.902,48.965,0.963,3.35e-5,0.963,89.998,3.374,2.474,28.61,-80.6,0.773,1.241e-6,-7.564,-0.009,85.28,90,65.605,17.446,0.001,1.006e-5,9.792,31.71,25.006,2.682,4.436,6.905,0.585,0.621,0.432,0.065,0.124,0.622,0.164,0.441,-2.983e-4,0,0,0,0,-4.358e-4,1.986,90,14.824,1010.08,0.001,340.282,0.165,1.607e6,2.5,4.909,0.007,0.066,0.007
0.884,27.423,27.423,56.084,56.186,48.785,48.842,0.986,3.447e-5,0.986,89.998,3.391,2.377,28.61,-80.6,0.779,1.198e-6,-3.508,-0.011,85.319,90,65.567,17.408,0.001,1.005e-5,9.792,31.709,24.999,2.684,4.433,6.904,0.592,0.621,0.432,0.065,0.124,0.622,0.166,0.445,-4.167e-4,0,0,0,0,-9.261e-5,1.969,90,14.822,1010.034,0.001,340.281,0.166,1.617e6,2.5,4.909,0.007,0.066,0.007
0.891,27.809,27.809,56.418,56.52,48.662,48.721,1.01,3.541e-5,1.01,89.998,3.407,2.398,28.61,-80.6,0.757,9.284e-7,0.472,-0.01,85.33,89.999,65.531,17.371,0.001,1.005e-5,9.792,31.716,24.992,2.69,4.43,6.903,0.599,0.621,0.432,0.065,0.124,0.622,0.161,0.433,-1.337e-4,0,0,0,0,1.655e-6,1.953,90,14.819,1009.989,0.001,340.279,0.167,1.626e6,2.5,4.909,0.007,0.067,0.007
0.898,28.202,28.202,56.756,56.859,48.53,48.596,1.034,3.638e-5,1.034,89.998,3.424,2.533,28.61,-80.6,0.708,1.046e-6,4.378,-0.008,85.313,89.998,65.493,17.334,0.001,1.005e-5,9.792,31.73,24.985,2.698,4.426,6.902,0.606,0.621,0.432,0.065,0.124,0.622,0.15,0.405,-1.394e-4,0,0,0,0,1.409e-4,1.936,90,14.817,1009.942,0.001,340.278,0.168,1.636e6,2.5,4.909,0.007,0.067,0.007
0.906,28.62,28.62,57.112,57.215,48.384,48.462,1.059,3.742e-5,1.059,89.998,3.444,2.744,28.61,-80.6,0.645,1.222e-6,8.232,-0.007,85.266,89.998,65.453,17.294,0.001,1.005e-5,9.792,31.749,24.977,2.709,4.423,6.901,0.613,0.621,0.432,0.065,0.124,0.622,0.137,0.37,1.797e-4,0,0,0,0,4.92e-4,1.934,90,14.814,1009.893,0.001,340.276,0.169,1.646e6,2.5,4.909,0.008,0.068,0.007
0.913,29.075,29.075,57.495,57.599,48.219,48.317,1.086,3.858e-5,1.086,89.998,3.467,3.081,28.61,-80.6,0.555,1.109e-6,11.988,-0.006,85.185,89.997,65.411,17.252,0.001,1.005e-5,9.792,31.777,24.969,2.723,4.42,6.9,0.622,0.621,0.432,0.065,0.124,0.622,0.117,0.318,1.407e-4,0,0,0,0,0.001,1.937,90,14.811,1009.84,0.001,340.274,0.17,1.657e6,2.5,4.909,0.009,0.068,0.007
0.923,29.6,29.6,57.932,58.038,48.016,48.152,1.118,3.997e-5,1.118,89.998,3.497,3.606,28.61,-80.6,0.422,1.259e-6,15.549,-0.007,85.06,89.997,65.362,17.203,0.001,1.005e-5,9.792,31.817,24.96,2.743,4.416,6.899,0.631,0.621,0.432,0.065,0.124,0.621,0.089,0.242,-3.693e-4,0,0,0,0,0.002,1.941,90,14.808,1009.778,0.001,340.272,0.171,1.67e6,2.5,4.909,0.012,0.069,0.007
0.934,30.285,30.285,58.496,58.603,47.735,47.942,1.159,4.189e-5,1.159,89.998,3.544,4.445,28.61,-80.6,0.218,1.363e-6,18.618,-0.018,84.857,89.997,65.298,17.139,0.001,1.004e-5,9.792,31.88,24.948,2.773,4.41,6.898,0.643,0.621,0.432,0.065,0.124,0.621,0.046,0.124,3.502e-4,0,0,0,0,0.002,1.945,90,14.803,1009.698,0.001,340.27,0.173,1.686e6,2.5,4.909,0.018,0.069,0.008
0.952,31.324,31.324,59.334,59.445,47.283,47.642,1.223,4.505e-5,1.223,89.998,3.635,5.836,28.61,-80.6,0.106,7.35e-7,-19.36,-0.035,84.515,89.996,65.203,17.044,0.001,1.004e-5,9.792,31.915,24.93,2.794,4.403,6.895,0.662,0.621,0.432,0.065,0.124,0.621,0.022,0.065,-4.059e-4,0,0,0,0,-0.003,1.952,90,14.796,1009.576,0.001,340.266,0.175,1.71e6,2.5,4.909,0.026,0.07,0.008
0.978,32.912,32.912,60.577,60.697,46.602,47.211,1.321,5.067e-5,1.321,89.998,3.814,7.557,28.61,-80.6,0.475,-8.282e-6,-12.056,-0.003,84.081,89.995,65.06,16.901,0.001,1.003e-5,9.792,31.802,24.903,2.76,4.391,6.892,0.69,0.622,0.432,0.065,0.124,0.622,0.1,0.278,-2.033e-5,0,0,0,0,-9.377e-4,1.959,90,14.786,1009.39,0.001,340.259,0.179,1.746e6,2.5,4.909,0.009,0.071,0.008
0.988,33.48,33.48,61.011,61.135,46.387,47.052,1.357,5.288e-5,1.357,89.998,3.886,7.884,28.61,-80.6,0.537,-8.408e-6,-7.738,-6.304e-4,83.988,89.995,65.01,16.851,0.001,1.003e-5,9.792,31.784,24.893,2.756,4.387,6.891,0.701,0.622,0.432,0.066,0.124,0.622,0.113,0.313,-2.181e-4,0,0,0,0,-3.807e-4,1.961,90,14.782,1009.323,0.001,340.257,0.18,1.758e6,2.5,4.909,0.008,0.071,0.008
0.996,33.979,33.979,61.389,61.516,46.217,46.906,1.389,5.495e-5,1.389,89.998,3.951,8.007,28.61,-80.6,0.555,-8.552e-6,-3.626,0.001,83.941,89.995,64.966,16.807,0.001,1.003e-5,9.792,31.779,24.885,2.758,4.383,6.89,0.71,0.622,0.432,0.066,0.124,0.622,0.117,0.323,-2.132e-4,0,0,0,0,-8.256e-5,1.963,90,14.779,1009.265,0.001,340.255,0.181,1.769e6,2.5,4.909,0.008,0.072,0.008
1.004,34.459,34.459,61.748,61.879,46.072,46.758,1.42,5.704e-5,1.42,89.998,4.014,7.985,28.61,-80.6,0.543,-8.566e-6,0.372,0.002,83.929,89.995,64.924,16.765,0.001,1.003e-5,9.792,31.782,24.877,2.762,4.379,6.889,0.718,0.622,0.432,0.066,0.124,0.622,0.115,0.317,-1.774e-4,0,0,0,0,8.584e-7,1.962,90,14.776,1009.209,0.001,340.253,0.182,1.779e6,2.5,4.909,0.008,0.072,0.008
1.012,34.946,34.946,62.11,62.244,45.941,46.603,1.452,5.928e-5,1.452,89.998,4.076,7.827,28.61,-80.6,0.504,-8.706e-6,4.279,0.002,83.947,89.995,64.882,16.723,0.001,1.003e-5,9.792,31.794,24.869,2.77,4.376,6.888,0.726,0.622,0.432,0.066,0.124,0.622,0.106,0.294,3.783e-4,0,0,0,0,1.123e-4,1.958,90,14.773,1009.151,0.001,340.251,0.183,1.79e6,2.5,4.909,0.008,0.073,0.008
